exam_id,question_id,correct_answer
PERF001,1,B
PERF001,2,C
PERF001,3,D
PERF001,4,A
PERF001,5,B
PERF001,6,C
PERF001,7,D
PERF001,8,A
PERF001,9,B
PERF001,10,C
PERF001,11,D
PERF001,12,A
PERF001,13,B
PERF001,14,C
PERF001,15,D
PERF001,16,A
PERF001,17,B
PERF001,18,C
PERF001,19,D
PERF001,20,A
PERF001,21,B
PERF001,22,C
PERF001,23,D
PERF001,24,A
PERF001,25,B
PERF001,26,C
PERF001,27,D
PERF001,28,A
PERF001,29,B
PERF001,30,C
PERF001,31,D
PERF001,32,A
PERF001,33,B
PERF001,34,C
PERF001,35,D
PERF001,36,A
PERF001,37,B
PERF001,38,C
PERF001,39,D
PERF001,40,A
PERF001,41,B
PERF001,42,C
PERF001,43,D
PERF001,44,A
PERF001,45,B
PERF001,46,C
PERF001,47,D
PERF001,48,A
PERF001,49,B
PERF001,50,C
PERF001,51,D
PERF001,52,A
PERF001,53,B
PERF001,54,C
PERF001,55,D
PERF001,56,A
PERF001,57,B
PERF001,58,C
PERF001,59,D
PERF001,60,A
PERF001,61,B
PERF001,62,C
PERF001,63,D
PERF001,64,A
PERF001,65,B
PERF001,66,C
PERF001,67,D
PERF001,68,A
PERF001,69,B
PERF001,70,C
PERF001,71,D
PERF001,72,A
PERF001,73,B
PERF001,74,C
PERF001,75,D
PERF001,76,A
PERF001,77,B
PERF001,78,C
PERF001,79,D
PERF001,80,A
PERF001,81,B
PERF001,82,C
PERF001,83,D
PERF001,84,A
PERF001,85,B
PERF001,86,C
PERF001,87,D
PERF001,88,A
PERF001,89,B
PERF001,90,C
PERF001,91,D
PERF001,92,A
PERF001,93,B
PERF001,94,C
PERF001,95,D
PERF001,96,A
PERF001,97,B
PERF001,98,C
PERF001,99,D
PERF001,100,A
PERF002,1,D
PERF002,2,A
PERF002,3,B
PERF002,4,C
PERF002,5,D
PERF002,6,A
PERF002,7,B
PERF002,8,C
PERF002,9,D
PERF002,10,A
PERF002,11,B
PERF002,12,C
PERF002,13,D
PERF002,14,A
PERF002,15,B
PERF002,16,C
PERF002,17,D
PERF002,18,A
PERF002,19,B
PERF002,20,C
PERF002,21,D
PERF002,22,A
PERF002,23,B
PERF002,24,C
PERF002,25,D
PERF002,26,A
PERF002,27,B
PERF002,28,C
PERF002,29,D
PERF002,30,A
PERF002,31,B
PERF002,32,C
PERF002,33,D
PERF002,34,A
PERF002,35,B
PERF002,36,C
PERF002,37,D
PERF002,38,A
PERF002,39,B
PERF002,40,C
PERF002,41,D
PERF002,42,A
PERF002,43,B
PERF002,44,C
PERF002,45,D
PERF002,46,A
PERF002,47,B
PERF002,48,C
PERF002,49,D
PERF002,50,A
PERF002,51,B
PERF002,52,C
PERF002,53,D
PERF002,54,A
PERF002,55,B
PERF002,56,C
PERF002,57,D
PERF002,58,A
PERF002,59,B
PERF002,60,C
PERF002,61,D
PERF002,62,A
PERF002,63,B
PERF002,64,C
PERF002,65,D
PERF002,66,A
PERF002,67,B
PERF002,68,C
PERF002,69,D
PERF002,70,A
PERF002,71,B
PERF002,72,C
PERF002,73,D
PERF002,74,A
PERF002,75,B
PERF002,76,C
PERF002,77,D
PERF002,78,A
PERF002,79,B
PERF002,80,C
PERF002,81,D
PERF002,82,A
PERF002,83,B
PERF002,84,C
PERF002,85,D
PERF002,86,A
PERF002,87,B
